#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_tate,CA_Dummy,innout_tree
0,9874,108.251,11.06583428,-0.050637842,0,39,31043,114,3.1,81,1876327.80,0,0
0,9839,76.37415647,2.124607799,-0.136297376,0,12,23430,105,11.8,76.2,191965.20,0,0
0,9748,65.65,24.87926509,-0.101175801,15,39,18623,1578,5.4,87.6,1876327.80,0,0
0,9630,56.59293984,2.668390961,0.062439024,1,12,27816,63,8.3,92.9,191965.20,0,0
0,9542,101.46,5.372761801,0.173639919,0,34,21521,221,27.4,90.2,356417.00,0,0
0,9501,238.913,1.558699871,0.044085789,0,39,28454,41,6.4,89.6,1876327.80,0,0
0,9427,49.508,24.02531646,0.044234155,1,4,42446,57,7.5,88.3,385834.80,0,0
0,9192,265.282,0.990985916,-0.123130608,0,25,34528,84,4.7,80.8,165455.10,0,0
0,9170,32.358,50.65053763,0.109658422,1,39,21729,126,1.2,92,1876327.80,0,0
0,9142,83.908,9.968784838,-0.071443406,0,39,21145,56,-4.6,94.7,1876327.80,0,0
0,8903,105.71,9.733260154,-0.057003084,1,39,19806,47,-7,90.8,1876327.80,0,0
0,8840,91.166,6.170805117,-0.179571829,0,39,25222,431,-22.9,91.3,1876327.80,0,0
0,8723,179.41,2.146360153,-0.13245922,0,267,24142,53,2.3,88.3,2885627.30,1,0
0,8616,130.887,9.316722038,-0.070797438,0,39,20794,38,-4.5,95.1,1876327.80,0,0
0,8494,133.355,9.111964874,-0.082153914,0,39,34885,64,-5.1,91.4,1876327.80,0,0
0,8211,96.031,9.727272727,-0.04520371,16,39,24454,32,2.8,94.7,1876327.80,0,0
0,8119,306.21,1.012163656,0.043445218,1,3,31057,37,1,92.7,234806.20,0,0
0,8084,12.012,6.437451437,0.125832314,0,4,40993,77,11.9,94.2,385834.80,0,0
0,7964,93.473,14.3747646,-0.138973491,0,39,23763,141,-20.2,96.9,1876327.80,0,0
0,7848,150.103,5.80110935,-0.176953345,0,39,16409,29,3.7,93.6,1876327.80,0,0
0,7707,87.425,9.55,-0.030333799,0,39,22645,339,-17.2,84.9,1876327.80,0,0
0,7676,131.173,6.97467167,-0.102378365,0,39,29167,41,1.9,87.1,1876327.80,0,0
0,7635,38.20385904,1.962155388,0.098807018,0,12,23006,51,14.8,75.2,191965.20,0,0
0,7629,94.932,9.506539834,0.124472574,0,39,33308,285,-12.4,94.9,1876327.80,0,0
0,7579,0,5.610722611,-0.125363372,0,4,18247,26,-6,91.7,385834.80,0,0
0,7454,292.93,0.741734926,0.01266505,0,3,18705,40,9.7,95,234806.20,0,0
0,7450,87.014,8.013422819,-0.111386753,0,39,17830,99,-11,94.8,1876327.80,0,0
0,7417,1.01,19.82758621,0.022571819,1,4,25998,442,-0.6,96.4,385834.80,0,0
0,7330,117.67,2.385568976,0.07091895,0,3,31030,49,9,96.3,234806.20,0,0
0,7225,234.32,1.583130934,-0.036937542,0,3,35128,34,2.8,89,234806.20,0,0
0,7135,128.977,4.815701929,0.079815008,0,39,15309,102,-6,93.3,1876327.80,0,0
0,7100,73.022,7.455991516,-0.026581753,1,39,23563,47,-1.4,88.9,1876327.80,0,0
0,7085,105.498,8.159624413,-0.035783634,0,39,20550,47,15.2,96.7,1876327.80,0,0
0,7071,0,3.115687182,-0.185852479,1,4,21330,65,32.7,94.7,385834.80,0,0
0,7055,83.727,7.535955056,-0.146040234,0,39,45461,77,1.9,74,1876327.80,0,0
0,6968,60.066,8.253929867,-0.047313329,0,39,22285,60,-8.2,96.2,1876327.80,0,0
0,6962,1575.155392,2.789005033,0.086740081,0,12,21865,58,10.4,91.5,191965.20,0,0
0,6956,83.781,4.437121722,-0.041823991,0,39,16355,808,-9.9,90.4,1876327.80,0,0
0,6822,90.24,8.505194805,-0.112962211,0,39,42666,62,-3.4,94.2,1876327.80,0,0
0,6787,0,4.307353865,0.021159291,0,4,23440,42,2.6,92.3,385834.80,0,0
